Original_2theta,Original_intensity,NVT-Langevin_2theta,NVT-Langevin_intensity,NVT-Berendsen_2theta,NVT-Berendsen_intensity,NPT-Berendsen_2theta,NPT-Berendsen_intensity
27.137137137137138,5.131071302985811e-05,27.137137137137138,0.004178877047379869,27.137137137137138,0.007072116508388074,27.137137137137138,0.012588449600570852
27.217217217217218,0.0001622216934740101,27.217217217217218,0.0045070842331619825,27.217217217217218,0.0075526386190156395,27.217217217217218,0.020288794566944063
27.2972972972973,0.00047760051844096134,27.2972972972973,0.00473665293509371,27.2972972972973,0.007722058261184629,27.2972972972973,0.036659713953526525
27.37737737737738,0.001309409917785239,27.37737737737738,0.005197218436115244,27.37737737737738,0.00792239838742608,27.37737737737738,0.06730033642349115
27.45745745745746,0.0033430389782348876,27.45745745745746,0.006647887872533135,27.45745745745746,0.00896443919094066,27.45745745745746,0.1189822551044171
27.53753753753754,0.007948080045665764,27.53753753753754,0.010564171768138984,27.53753753753754,0.012397935102742879,27.53753753753754,0.19823121111690184
27.61761761761762,0.01759697439059133,27.61761761761762,0.0195254236954389,27.61761761761762,0.020877180439093382,27.61761761761762,0.30881206520413756
27.6976976976977,0.03628012289046643,27.6976976976977,0.03760390110303471,27.6976976976977,0.03853181044524243,27.6976976976977,0.44861728678492735
27.77777777777778,0.06965534934086035,27.77777777777778,0.07050153856741141,27.77777777777778,0.07109467938294796,27.77777777777778,0.6071801881643928
27.85785785785786,0.12453607605296638,27.85785785785786,0.12503974542699908,27.85785785785786,0.12539279513964102,27.85785785785786,0.7653912550361618
27.93793793793794,0.20734370676516273,27.93793793793794,0.20762282671980725,27.93793793793794,0.2078184773288385,27.93793793793794,0.89852017891662
28.01801801801802,0.3214707894656249,28.01801801801802,0.32161474475470625,28.01801801801802,0.321715650976255,28.01801801801802,0.9822795138229716
28.0980980980981,0.464138028239849,28.0980980980981,0.46420704042417044,28.0980980980981,0.4642554148799139,28.0980980980981,1.0
28.17817817817818,0.6240333021745262,28.17817817817818,0.6240639414111304,28.17817817817818,0.6240854181461403,28.17817817817818,0.9480272022690047
28.25825825825826,0.7813099561936587,28.25825825825826,0.7813224102763825,28.25825825825826,0.7813311400315623,28.25825825825826,0.8369449297713137
28.33833833833834,0.9109487158253122,28.33833833833834,0.9109531792503623,28.33833833833834,0.9109563079117674,28.33833833833834,0.6880627519974923
28.41841841841842,0.9890527962020177,28.41841841841842,0.9890540066901019,28.41841841841842,0.9890548551881293,28.41841841841842,0.5267617434172953
28.4984984984985,1.0,28.4984984984985,1.0,28.4984984984985,1.0,28.4984984984985,0.3755393015875797
28.57857857857858,0.9415329053391656,28.57857857857858,0.941532521669334,28.57857857857858,0.9415322527339357,28.57857857857858,0.24931679990903308
28.65865865865866,0.8255169274611807,28.65865865865866,0.8255164790643732,28.65865865865866,0.8255161647582587,28.65865865865866,0.15413549895974613
28.73873873873874,0.6740179168127607,28.73873873873874,0.6740175202580221,28.73873873873874,0.6740172422908798,28.73873873873874,0.08873782496004931
28.81881881881882,0.5124740476127616,28.81881881881882,0.5124737383935483,28.81881881881882,0.5124735216447047,28.81881881881882,0.047574021491327036
28.8988988988989,0.36285013636238017,28.8988988988989,0.36284991560692886,28.8988988988989,0.36284976086722737,28.8988988988989,0.02375122025456259
28.97897897897898,0.23924214192836704,28.97897897897898,0.23924199597624232,28.97897897897898,0.23924189367032828,28.97897897897898,0.011042234540806795
29.05905905905906,0.14689365974386673,29.05905905905906,0.1468935700483339,29.05905905905906,0.1468935071757756,29.05905905905906,0.00478060636765233
29.13913913913914,0.08398919097096653,29.13913913913914,0.0839891396703476,29.13913913913914,0.08398910371090733,29.13913913913914,0.0019273650592958893
29.21921921921922,0.044719683633995505,29.21921921921922,0.04471965631644936,29.21921921921922,0.04471963716807087,29.21921921921922,0.0007236023275429736
29.2992992992993,0.02217323321300326,29.2992992992993,0.022173219667767922,29.2992992992993,0.02217321017316354,29.2992992992993,0.00025298274845370414
29.37937937937938,0.01023798066208366,29.37937937937938,0.010237974407812808,29.37937937937938,0.010237970023848563,29.37937937937938,8.236388729454158e-05
29.45945945945946,0.004402045860446834,29.45945945945946,0.004402043171274974,29.45945945945946,0.004402041286285731,29.45945945945946,2.497110394833226e-05
29.53953953953954,0.0017625838977627668,29.53953953953954,0.0017625828210141282,29.53953953953954,0.0017625820662614733,29.53953953953954,7.050073214374213e-06
29.61961961961962,0.0006572037177922412,29.61961961961962,0.0006572033163114942,29.61961961961962,0.0006572030348914404,29.61961961961962,1.8535507842135028e-06
29.6996996996997,0.00022819451569645923,29.6996996996997,0.00022819437629414803,29.6996996996997,0.00022819427857936043,29.6996996996997,4.5380610026741015e-07
29.77977977977978,7.378453954492731e-05,29.77977977977978,7.378449447050569e-05,29.77977977977978,7.378446287535137e-05,29.77977977977978,1.0346444855975729e-07
29.85985985985986,2.2216749482378844e-05,29.85985985985986,2.221673591033306e-05,29.85985985985986,2.2216726396935758e-05,29.85985985985986,2.196680743749476e-08
